Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Latavius Murray,RB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Delone Carter,RB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Brian Leonard,RB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Shaun Draughn,RB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
William Powell,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jorvorski Lane,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Michael Cox,RB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Vonta Leach,RB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Brandon Bolden,RB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
DuJuan Harris,RB,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Fozzy Whittaker,RB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Felix Jones,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Armando Allen,RB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Peyton Hillis,RB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Montario Hardesty,RB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Joe McKnight,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jamie Harper,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Cedric Peerman,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Leon Washington,RB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Will Johnson,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Bernard Scott,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Taiwan Jones,RB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Anthony Dixon,RB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Lance Ball,RB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Da'Rel Scott,RB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Dennis Johnson,RB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
